,year,title,copyright,AU,SO
2753,2017,Adjoint design sensitivity analysis and optimization of nonlinear structures using geometrical mapping approach, Elsevier Ltd. All rights reserved.,"Wei, YT|Zhao, CL|Yao, ZH|Hauret, P|Li, XB|Kaliske, M",COMPUTERS & STRUCTURES
2758,2017,Concentration of natural aroma compounds from fruit juice hydrolates by pervaporation in laboratory and semi-technical scale. Part 2. Economic analysis, Elsevier Ltd. All rights reserved.,"Podstawczyk, D|Mitkowski, PT|Dawiec-Lisniewska, A|Witek-Krowiak, A",JOURNAL OF CLEANER PRODUCTION
2763,2003,Modeling and parametric study of a fabric drape,,"Bruniaux, P|Ghith, A|Vasseur, C",ADVANCES IN COMPLEX SYSTEMS
2773,2016,Sustainable design model to reduce environmental impact of building construction with composite structures, Elsevier Ltd. All rights reserved.,"Choi, SW|Oh, BK|Park, JS|Park, HS",JOURNAL OF CLEANER PRODUCTION
2779,2001,PODIUM: Projecting water supply and demand for food production in 2025, (C) 2001 Elsevier Science Ltd. All rights reserved.,"de Fraiture, C|Molden, D|Amarasinghe, U|Makin, I",PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE
2780,2016,Indicators for monitoring sustainable development goals: An application to oceanic development in the European Union,,"Rickels, W|Dovern, J|Hoffmann, J|Quaas, MF|Schmidt, JO|Visbeck, M",EARTHS FUTURE
2792,2017,Heat as a hydraulic tracer for horizontal subsurface flow constructed wetlands, Elsevier Ltd. All rights reserved.,"Bonner, R|Aylward, L|Harley, C|Kappelmeyer, U|Sheridan, CM",JOURNAL OF WATER PROCESS ENGINEERING
2800,2011,Acoustic Design Shape and Topology Sensitivity Formulations Based on Adjoint Method and BEM,,"Matsumoto, T|Yamada, T|Takahashi, T|Zheng, CJ|Harada, S",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
2807,2010,The CO2 abatement cost curve for the Thailand cement industry, Published by Elsevier Ltd.,"Hasanbeigi, A|Menke, C|Price, L",JOURNAL OF CLEANER PRODUCTION
2812,2013,"Deterministic Coreference Resolution Based on Entity-Centric, Precision-Ranked Rules",,"Lee, H|Chang, A|Peirsman, Y|Chambers, N|Surdeanu, M|Jurafsky, D",COMPUTATIONAL LINGUISTICS
2822,2006,The effects of scaling and model complexity in simulating the transport of inorganic micropollutants in a lowland river reach,,"Lindenschmidt, KE|Wodrich, R|Hesse, C",WATER QUALITY RESEARCH JOURNAL OF CANADA
2830,2017,A feasibility study of municipal solid waste incineration fly ash utilisation in Estonia,,"Berber, H|Frey, R|Voronova, V|Koroljova, A",WASTE MANAGEMENT & RESEARCH
2834,2002,Identification of characteristic oligonucleotides in the bacterial 16S ribosomal RNA sequence dataset,,"Zhang, ZD|Willson, RC|Fox, GE",BIOINFORMATICS
2837,2016,Urban wastewater reclamation for industrial reuse: An LCA case study, Elsevier Ltd. All rights reserved.,"Pintilie, L|Torres, CM|Teodosiu, C|Castells, F",JOURNAL OF CLEANER PRODUCTION
2845,2008,A general asset-liability management model for the efficient simulation of portfolios of life insurance policies, (c) 2007 Elsevier B.V. All rights reserved.,"Gerstner, T|Griebel, M|Holtz, M|Goschnick, R|Haep, M",INSURANCE MATHEMATICS & ECONOMICS
2852,2004,Analytical synopses for approximate query answering in OLAP environments,,"Cuzzocrea, A|Matrangolo, U","DATABASE AND EXPERT SYSTEMS APPLICATIONS, PROCEEDINGS"
2865,2016,ToothPIC: An Interactive Application for Teaching Oral Anatomy,,"Javaid, M|Ashrafi, S|Zefran, M|Steinberg, AD",IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES
2871,2005,Spatiotemporal variation of risk preceding crashes on freeways,,"Pande, A|Abdel-Aty, M|Hsia, L","STATISTICAL METHODS; HIGHWAY SAFETY DATA, ANALYSIS, AND EVALUATION; OCCUPANT PROTECTION; SYSTEMATIC REVIEWS AND META-ANALYSIS"
2883,2017,Response sensitivity analysis for plastic plane problems based on direct differentiation method, Elsevier Ltd. All rights reserved.,"Li, Y|Huang, SR|Lin, C|Gu, Q|Qiu, ZJ",COMPUTERS & STRUCTURES
2912,2006,Influence of mass transfer resistance on overall nitrate removal rate in upflow sludge bed reactors, Elsevier Ltd. All rights reserved.,"Ting, WH|Huang, JS",CHEMOSPHERE
2920,2003,Sensitivity of the skin tissue on the activity of external heat sources,,"Mochnacki, B|Majchrzak, E",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
2929,2015,Meat alternatives: life cycle assessment of most known meat substitutes,,"Smetana, S|Mathys, A|Knoch, A|Heinz, V",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2942,2012,Understanding the metabolism of urban-rural ecosystems A multi-sectoral systems analysis,,"Walker, RV|Beck, MB",URBAN ECOSYSTEMS
2946,2017,Direct differentiation of the quasi-incompressible fluid formulation of fluid-structure interaction using the PFEM,,"Zhu, MJ|Scott, MH",COMPUTATIONAL PARTICLE MECHANICS
2947,2002,Classification scheme for the design of serine protease targeted compound libraries,,"Lang, SA|Kozyukov, AV|Balakin, KV|Skorenko, AV|Ivashchenko, AA|Savchuk, NP",JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN
2950,2005,Gene finding for the helical cytokines,,"Conklin, D|Haldeman, B|Gao, ZR",BIOINFORMATICS
2959,2017,A critical review of the recent evolution of Life Cycle Assessment applied to milk production, Elsevier Ltd. All rights reserved.,"Baldini, C|Gardoni, D|Guarino, M",JOURNAL OF CLEANER PRODUCTION
2993,2004,Shape optimization of shells and locking, Elsevier Ltd. All rights reserved.,"Camprubi, N|Bischoff, M|Bletzinger, KU",COMPUTERS & STRUCTURES
2999,2000,Microbial and photolytic degradation of the herbicide acetochlor,,"Jablonkai, I",INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY
3023,2000,Optimum design of structure shape for offshore jacket platforms,,"Feng, S|Song, YP|Zhang, RX",CHINA OCEAN ENGINEERING
3025,2014,Energy conservation measures for the German cement industry and their ability to compensate for rising energy-related production costs, Elsevier Ltd. All rights reserved.,"Brunke, JC|Blesl, M",JOURNAL OF CLEANER PRODUCTION
3029,2000,A new algorithm for the kinetic data analysis, (C) 2000 Elsevier Science B.V. All rights reserved.,"Pla, FFP|Redon, JFB|Valero, R",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS
3031,2000,Design and fabrication of an electrostatic variable gap comb drive in micro-electro-mechanical systems,,"Ye, WJ|Mukherjee, S",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
3041,2017,Availability and processing of recycled aggregates within the construction and demolition supply chain: A review, Elsevier Ltd. All rights reserved.,"Silva, RV|de Brito, J|Dhir, RK",JOURNAL OF CLEANER PRODUCTION
3053,2017,Global in Time Analysis and Sensitivity Analysis for the Reduced NS-alpha Model of Incompressible Flow,,"Rebholz, L|Zerfas, C|Zhao, K",JOURNAL OF MATHEMATICAL FLUID MECHANICS
3057,2014,"An efficient method for the estimation of structural reliability intervals with random sets, dependence modeling and uncertain inputs", Elsevier Ltd. All rights reserved.,"Alvarez, DA|Hurtado, JE",COMPUTERS & STRUCTURES
3063,2004,Stochastic modelling of landfill leachate and biogas production incorporating waste heterogeneity. Model formulation and uncertainty analysis, Elsevier Ltd. All rights reserved.,"Zacharof, AI|Butler, AP",WASTE MANAGEMENT
3068,2009,Reliability of underground concrete barriers against normal missile impact,,"Siddiqui, NA|Khan, FH|Umar, A",COMPUTERS AND CONCRETE
3070,2004,Parametric sensitivity analysis of leachate transport simulations at landfills, Elsevier Ltd. All rights reserved.,"Bou-Zeid, E|El-Fadel, M",WASTE MANAGEMENT
3081,2012,NEURAL NETWORK MODELING OF SCOUR CONE GEOMETRY AROUND OUTLET IN THE PRESSURE FLUSHING,,"Emamgholizadeh, S",GLOBAL NEST JOURNAL
3114,2014,A topology optimization method for geometrically nonlinear structures with meshless analysis and independent density field interpolation,,"He, QZ|Kang, Z|Wang, YQ",COMPUTATIONAL MECHANICS
3119,2017,Local and Biglobal Linear Stability Analysis of Parallel Shear Flows,,"Mittal, S|Dwivedi, A",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
3122,2014,WATER LEVEL PREDICTION BY ARTIFICIAL NEURAL NETWORK IN A FLASHY TRANSBOUNDARY RIVER OF BANGLADESH,,"Biswas, RK|Jayawardena, AW",GLOBAL NEST JOURNAL
3123,2015,Investigation of CO2 emission reduction and improving energy use efficiency of button mushroom production using Data Envelopment Analysis, Elsevier Ltd. All rights reserved.,"Ebrahimi, R|Salehi, M",JOURNAL OF CLEANER PRODUCTION
3138,2005,A rule-based screening environmental risk assessment tool derived from EUSES, Elsevier Ltd. All rights reserved.,"Verdonck, FAM|Boeije, G|Vandenberghe, V|Comber, M|de Wolf, W|Feijtel, T|Holt, M|Koch, V|Lecloux, A|Siebel-Sauer, A|Vanrolleghem, PA",CHEMOSPHERE
3140,2003,Relating landfill gas emissions to atmospheric pressure using numerical modelling and state-space analysis,,"Poulsen, TG|Christophersen, M|Moldrup, P|Kjeldsen, P",WASTE MANAGEMENT & RESEARCH
3142,2015,Impact of cropping system and soil tillage on environmental performance of cereal silage productions, Elsevier Ltd. All rights reserved.,"Bacenetti, J|Fusi, A|Negri, M|Fiala, M",JOURNAL OF CLEANER PRODUCTION
3145,2017,"Stochastic integrated manufacturing and remanufacturing model with shortage, rework and quality based return rate in a closed loop supply chain", Elsevier Ltd. All rights reserved.,"Moshtagh, MS|Taleizadeh, AA",JOURNAL OF CLEANER PRODUCTION
3150,2015,Evaluation of energy consumption and greenhouse gas emissions from poly(phenyllactic acid) production using sweet sorghum, Elsevier Ltd. All rights reserved.,"Sun, XZ|Minowa, T|Yamaguchi, K|Genchi, Y",JOURNAL OF CLEANER PRODUCTION
3153,2005,A coupled-adjoint sensitivity analysis method for high-fidelity aero-structural design,,"Martins, JRRA|Alonso, JJ|Reuther, JJ",OPTIMIZATION AND ENGINEERING
3156,2003,Numerical solution of the one-dimensional unsteady flow equations. Hydraulic engineering in Mexico,,"Gonzalez, M",INGENIERIA HIDRAULICA EN MEXICO
3159,2007,Application of a sensitivity equation method to the k-epsilon model of turbulence,,"Turgeon, E|Pelletier, D|Borggaard, J|Etienne, S",OPTIMIZATION AND ENGINEERING
3162,2015,Time-consistent reinsurance and investment strategies for mean-variance insurer under partial information, (C) 2015 Elsevier B.V. All rights reserved.,"Liang, ZX|Song, M",INSURANCE MATHEMATICS & ECONOMICS
3169,2009,Comparative Prediction of Stream Water Total Nitrogen from Land Cover Using Artificial Neural Network and Multiple Linear Regression Approaches,,"Amiri, BJ|Nakane, K",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
3174,2015,"Environmental, energy and economic analysis of a biomass supply chain based on a poplar short rotation coppice in Spain", Elsevier Ltd. All rights reserved.,"Miguel, GS|Corona, B|Ruiz, D|Landholm, D|Laina, R|Tolosana, E|Sixto, H|Canellas, I",JOURNAL OF CLEANER PRODUCTION
3178,2009,Scheduling trains as a blocking parallel-machine job shop scheduling problem, Crown Copyright (C) 2009 Published by Elsevier Ltd. All rights reserved.,"Liu, SQ|Kozan, E",COMPUTERS & OPERATIONS RESEARCH
3179,2017,Life cycle assessment of cost-optimized buttress earth-retaining walls: A parametric study, Elsevier Ltd. All rights reserved.,"Zastrow, P|Molina-Moreno, F|Garcia-Segura, T|Marti, JV|Yepes, V",JOURNAL OF CLEANER PRODUCTION
3181,2007,Are cover crops being used in the US corn belt?,,"Singer, JW|Nusser, SM",JOURNAL OF SOIL AND WATER CONSERVATION
3203,2010,Composting kinetics in full-scale mechanical-biological treatment plants, Elsevier Ltd. All rights reserved.,"Baptista, M|Antunes, F|Goncalves, MS|Morvan, B|Silveira, A",WASTE MANAGEMENT
3212,2013,A hybrid life cycle assessment of water treatment chemicals: an Australian experience,,"Alvarez-Gaitan, JP|Peters, GM|Rowley, HV|Moore, S|Short, MD",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
3228,2000,A closed-loop model of the canine cardiovascular system that includes ventricular interaction, (C) 2000 Academic Press.,"Olansen, JB|Clark, JW|Khoury, D|Ghorbel, F|Bidani, A",COMPUTERS AND BIOMEDICAL RESEARCH
3229,2016,Toward operational methods for the assessment of intrinsic groundwater vulnerability: A review,,"Wachniew, P|Zurek, AJ|Stumpp, C|Gemitzi, A|Gargini, A|Filippini, M|Rozanski, K|Meeks, J|Kvaerner, J|Witczak, S",CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY
3238,2009,Nonlinear Dynamic Responses of Tension Leg Platform with Slack-Taut Tether,,"Zeng, XH|Li, XW|Liu, Y|Wu, YX",CHINA OCEAN ENGINEERING
3254,2011,Life cycle assessment of carbon fiber-reinforced polymer composites,,"Das, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
3271,2010,Robustness and sensitivity analysis of risk measurement procedures,,"Cont, R|Deguest, R|Scandolo, G",QUANTITATIVE FINANCE
3275,2008,Snow accumulation on evergreen needle-leaved and deciduous broad-leaved trees,,"Suzuki, K|Kodama, Y|Yamazaki, T|Kosugi, K|Nakai, Y",BOREAL ENVIRONMENT RESEARCH
3308,2015,Implementation of the expert decision system for environmental assessment in composite materials selection for automotive components, Elsevier Ltd. All rights reserved.,"Ali, BAA|Sapuan, SM|Zainudin, ES|Othman, M",JOURNAL OF CLEANER PRODUCTION
3315,2016,Thermo-Hydraulic Analysis of Parabolic trough Collectors for Direct Steam Generation with Relap5,,"Valenzuela, L|Saynes, J|Moya, SL",TECNOLOGIA Y CIENCIAS DEL AGUA
3320,2014,"Sensitivity analysis of source regions to PM2.5 concentration at Fukue Island, Japan",,"Ikeda, K|Yamaji, K|Kanaya, Y|Taketani, F|Pan, XL|Komazaki, Y|Kurokawa, J|Ohara, T",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
3338,2017,Neural Network modeling of automatic air temperature time series,,"Kajewska-Szkudlarek, J",ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA
3373,2005,Life cycle inventory for use of waste solvent as fuel substitute in the cement industry - A multi-input allocation model,,"Seyler, C|Hellweg, S|Monteil, M|Hungerbuhler, K",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
3391,2006,A model to estimate the methane generation rate constant in sanitary landfills using fuzzy synthetic evaluation,,"Garg, A|Achari, G|Joshi, RC",WASTE MANAGEMENT & RESEARCH
3393,2008,Selection of infectious medical waste disposal firms by using the analytic hierarchy process and sensitivity analysis, Elsevier Ltd. All rights reserved.,"Hsu, PF|Wu, CR|Li, YT",WASTE MANAGEMENT
3394,2016,Life Cycle Assessment of Wooden Interior Doors in Germany: A Sector-Representative Approach for a Complex Wooden Product According to EN 15804 Methodology,,"Wenker, JL|Achenbach, H|Diederichs, SK|Ruter, S",JOURNAL OF INDUSTRIAL ECOLOGY
3400,2013,A non-stationary viscoelasto-plastic creep model for salt rock,,"Wang, JB|Liu, XR|Huang, M|Liu, XJ",DISASTER ADVANCES
3402,2016,Efficient and Powerful Method for Combining P-Values in Genome-Wide Association Studies,,"Vilor-Tejedor, N|Gonzalez, JR|Calle, ML",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
3403,2005,Lisp-Stat to Java to R,,"Narasimhan, B",JOURNAL OF STATISTICAL SOFTWARE
3409,2005,Investigating the dynamic behavior of biochemical networks using model families,,"Haunschild, MD|Freisleben, B|Takors, R|Wiechert, W",BIOINFORMATICS
3419,2008,mlegp: statistical analysis for computer models of biological systems using R,,"Dancik, GM|Dorman, KS",BIOINFORMATICS
3420,2011,Computational Models Calibration: Experiences in Environmental Engineering Studies," (C) 2009 Wiley Periodicals, Inc. Comput Appl Eng Educ 19: 795-805, 2011; View this article online at wileyonlinelibrary.com/journal/cae; DOI 10.1002/cae.20366","Lopez, PA|Martinez-Solano, FJ|Fuertes, VS|Iglesias, PL",COMPUTER APPLICATIONS IN ENGINEERING EDUCATION
3442,2015,Carbon footprint of sawn timber products of Castanea sativa Mill. in the north of Spain, Elsevier Ltd. All rights reserved.,"Martinez-Alonso, C|Berdasco, L",JOURNAL OF CLEANER PRODUCTION
3450,2016,"Agricultural and household activities in Vestfold, Southeast Norway, as illustrated by pollen data and the charred remains of crops and wild plants",,"Soltvedt, EC|Henningsmoen, KE",ENVIRONMENTAL ARCHAEOLOGY
3471,2013,New Safe Evaluate Analysis Method of Pier Foundation,,"Jiang, C|Zhou, KP|Li, C|Wang, TY|Liu, YL",DISASTER ADVANCES
3472,2015,Factorial Experiment Design in the Front Velocity Modeling Approach Applied to Chromatographic Separation of Glucose and Fructose,,"Prieto-Moreno, A|Camara, LDT|Llanes-Santiago, O|Neto, AJS",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
3473,2008,"Validation of an agricultural non-point source (AGNPS) pollution model for a catchment in the Jiulong River watershed, China",,"Liu, HC|Zhang, LP|Zhang, YZ|Hong, HS|Deng, HB",JOURNAL OF ENVIRONMENTAL SCIENCES
3481,2012,Optimal control of excess-of-loss reinsurance and investment for insurers under a CEV model, (C) 2012 Elsevier B.V. All rights reserved.,"Gu, AL|Guo, XP|Li, ZF|Zeng, Y",INSURANCE MATHEMATICS & ECONOMICS
3485,2006,Allocation of process gases generated from integrated steelworks by an improved system expansion method,,"Moon, JM|Eun, JH|Chung, JS",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
3488,2008,Neuro-space mapping technique for semiconductor device modeling,,"Zhang, L|Zhang, QJ",OPTIMIZATION AND ENGINEERING
3506,2013,BIO-DEVELOPMENT OF MOTORWAY NETWORK IN THE NETHERLANDS: A SLIME MOULD APPROACH,,"Adamatzky, A|Lees, M|Sloot, P",ADVANCES IN COMPLEX SYSTEMS
3507,2001,Topology optimization of structures with geometrical nonlinearities, (C) 2001 Published by Elsevier Science Ltd.,"Gea, HC|Luo, JH",COMPUTERS & STRUCTURES
3522,2017,Research on cloud manufacturing service discovery based on latent semantic preference about OWL-S,,"Jiao, HJ|Zhang, J|Li, JH|Shi, JF",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING
3526,2017,A Variable MIP Neighborhood Descent algorithm for managing inventory and distribution of cash in automated teller machines, Elsevier Ltd. All rights reserved.,"Larrain, H|Coelho, LC|Cataldo, A",COMPUTERS & OPERATIONS RESEARCH
3532,2015,Environmental evaluation of green concretes versus conventional concrete by means of LCA, Elsevier Ltd. All rights reserved.,"Turk, J|Cotic, Z|Mladenovic, A|Sajna, A",WASTE MANAGEMENT
3533,2014,Comparison of municipal solid waste treatment technologies from a life cycle perspective in China,,"Dong, J|Chi, Y|Zou, DA|Fu, C|Huang, QX|Ni, MJ",WASTE MANAGEMENT & RESEARCH
