AU,SO,copyright,title,year
"Novak, D|Vorechovsky, M|Teply, B",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,2014
"Carvalho, A|Gani, R|Matos, H",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V. All rights reserved.,Design of sustainable chemical processes: Systematic retrofit analysis generation and evaluation of alternatives,2008
"Ramezanianpour, M|Sivakumar, M",DESALINATION AND WATER TREATMENT,,Heat and mass transfer simulation and experimental evaluation of solar powered vacuum membrane distillation system,2017
"Li, X|Mariethoz, G|Lu, DT|Linde, N",WATER RESOURCES RESEARCH,,Patch-based iterative conditional geostatistical simulation using graph cuts,2016
"Bosch, J|Strozzi, F|Lister, DG|Maschio, G|Zaldivar, JM",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,,Sensitivity analysis in polymerization reactions using the divergence criterion,2004
"Delsman, JR|Winters, P|Vandenbohede, A|Essink, GHPO|Lebbe, L",WATER RESOURCES RESEARCH,,Global sampling to assess the value of diverse observations in conditioning a real-world groundwater flow and transport model,2016
"Liu, T|Li, B|Wang, ST|Gao, L",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Eigenvalue topology optimization of structures using a parameterized level set method,2014
"Joseph, JF|Sharif, HO|Arnold, JG|Bosch, DD",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,The Impact of Asynchronicity on Event-Flow Estimation in Basin-Scale Hydrologic Model Calibration,2013
"Zhang, ZQ|Zhou, JX|Zhou, N|Wang, XM|Zhang, L",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (c) 2004 Elsevier B.V. All rights reserved.,Shape optimization using reproducing kernel particle method and an enriched genetic algorithm,2005
"Opher, T|Friedler, E",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2009 Elsevier B.V. All rights reserved.,A preliminary coupled MT-GA model for the prediction of highway runoff quality,2009
"Tang, RL|Li, ZL|Jia, YY|Li, CR|Sun, XM|Kustas, WP|Anderson, MC",REMOTE SENSING OF ENVIRONMENT, (C) 2011 Elsevier Inc. All rights reserved.,An intercomparison of three remote sensing-based energy balance models using Large Aperture Scintillometer measurements over a wheat-corn production region,2011
"Suzuki, K|Sekimoto, H|Ishigure, N",RADIATION PROTECTION DOSIMETRY,,Sensitivity analysis of dose coefficients for Pu-239 to transfer rates,2000
"Persson, M|Uvo, CB",JOURNAL OF HYDROLOGY, (C) 2003 Elsevier Science B.V. All rights reserved.,Estimating soil solution electrical conductivity from time domain reflectometry measurements using neural networks,2003
"Wellen, C|Arhonditsis, GB|Long, T|Boyd, D",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Quantifying the uncertainty of nonpoint source attribution in distributed water quality models: A Bayesian assessment of SWAT's sediment export predictions,2014
"Swain, AK|Devarakonda, S|Madawala, UK",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,"Modeling, Sensitivity Analysis, and Controller Synthesis of Multipickup Bidirectional Inductive Power Transfer Systems",2014
"Schwiebus, A|Berger, FH",PHYSICS AND CHEMISTRY OF THE EARTH, Elsevier Ltd. All rights reserved.,Sensitivity studies and their application to infer surface energy fluxes: prospects within the passive remote sensing,2005
"Suzuki, K|Sekimoto, H|Ishigure, N",RADIATION PROTECTION DOSIMETRY,,Effect of uncertainty in transfer rates for the ICRP publication 67 biokinetic model on dose estimation for Pu-239 from results of individual monitoring,2002
"Wang, PC|Shoup, TE",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,A poly-hybrid PSO optimization method with intelligent parameter adjustment,2011
"Park, HS|San Juan, C",SOIL & SEDIMENT CONTAMINATION,,A method for assessing leaching potential for petroleum hydrocarbons release sites: Multiphase and multisubstance equilibrium partitioning,2000
"McPhee, J|Yeh, WWG",WATER RESOURCES RESEARCH,,Experimental design for groundwater modeling and management,2006
"Huang, DM|Xu, W",COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION, (C) 2017 Elsevier B.V. All rights reserved.,Sensitivity analysis of primary resonances and bifurcations of a controlled piecewise-smooth system with negative stiffness,2017
"Beriro, DJ|Abrahart, RJ|Nathanail, CP|Moreno, J|Bawazir, AS",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A typology of different development and testing options for symbolic regression modelling of measured and calculated datasets,2013
"Zeng, LZ|Zhang, DX",COMPUTATIONAL GEOSCIENCES,,A stochastic collocation based Kalman filter for data assimilation,2010
"Morio, J",SIMULATION MODELLING PRACTICE AND THEORY, (C) 2011 Elsevier B.V. All rights reserved.,Influence of input PDF parameters of a model on a failure probability estimation,2011
"Wang, C|Duan, QY|Tong, CH|Di, ZH|Gong, W",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,A GUI platform for uncertainty quantification of complex dynamical models,2016
"Peeters, LJM|Crosbie, RS|Doble, RC|Van Dijk, AIJM",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Conceptual evaluation of continental land-surface model behaviour,2013
"Huang, YC|Zeng, FH",COMPUTATIONAL GEOSCIENCES,,The temperature-based localization for the application of EnKF on automatic history matching of the SAGD process,2016
"Bae, HR|Grandhi, RV|Canfield, RA",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Sensitivity analysis of structural response uncertainty propagation using evidence theory,2006
"Pantelides, CP|Tzan, SR",ADVANCES IN ENGINEERING SOFTWARE, (C) 2000 Elsevier Science Ltd. All rights reserved.,Modified iterated simulated annealing algorithm for structural synthesis,2000
"Kraan, BCP|Cooke, RM",JOURNAL OF HAZARDOUS MATERIALS, (C) 2000 Elsevier Science B.V. All rights reserved.,Uncertainty in compartmental models for hazardous materials - a case study,2000
"Wilma, P|Giovanni, M",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,,Manufacturing Signature for Tolerance Analysis,2015
"Faghih, A|Yi, YL|Bayat, A|Osbak, M",JOURNAL OF PIPELINE SYSTEMS ENGINEERING AND PRACTICE, (C) 2015 American Society of Civil Engineers.,Fluidic Drag Estimation in Horizontal Directional Drilling Based on Flow Equations,2015
"Pesava, P|Horvath, H|Kasahara, M",JOURNAL OF AEROSOL SCIENCE, (C) 2001 Elsevier Science Ltd. All rights reserved.,A local optical closure experiment in Vienna,2001
"Wang, H|Tao, TY|Cheng, HY|He, XH",MATHEMATICAL PROBLEMS IN ENGINEERING,,Simulation Study on Train-Induced Vibration Control of a Long-Span Steel Truss Girder Bridge by Tuned Mass Dampers,2014
"Ye, M|Neuman, SP|Meyer, PD|Pohlmann, K",WATER RESOURCES RESEARCH,,Sensitivity analysis and assessment of prior model probabilities in MLBMA with application to unsaturated fractured tuff,2005
"Allix, O|Vidal, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,,A new multi-solution approach suitable for structural identification problems,2002
"Lee, S|Hong, SM|Jung, HS",SUSTAINABILITY,,"A Support Vector Machine for Landslide Susceptibility Mapping in Gangwon Province, Korea",2017
"Wersin, P",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2002 Elsevier Science B.V. All rights reserved.,Geochemical modelling of bentonite porewater in high-level waste repositories,2003
"van Oijen, M|Thomson, A",CLIMATIC CHANGE,,"Toward Bayesian uncertainty quantification for forestry models used in the United Kingdom Greenhouse Gas Inventory for land use, land use change, and forestry",2010
"Locatelli, T|Tarantola, S|Gardiner, B|Patenaude, G",ENVIRONMENTAL MODELLING & SOFTWARE, Crown Copyright (C) 2016 Published by Elsevier Ltd. All rights reserved.,Variance-based sensitivity analysis of a wind risk model - Model behaviour and lessons for forest modelling,2017
"Chen, P|Quarteroni, A|Rozza, G",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING," Copyright (c) 2013 John Wiley & Sons, Ltd.",Simulation-based uncertainty quantification of human arterial network hemodynamics,2013
"Hosseini, SR|Amidpour, M|Shakib, SE",DESALINATION, (C) 2011 Elsevier B.V. All rights reserved.,"Cost optimization of a combined power and water desalination plant with exergetic, environment and reliability consideration",2012
"Naji, HR|Sohrabi, M|Rashedi, E",COMPUTING IN SCIENCE & ENGINEERING,,"A High-Speed, Performance-Optimization Algorithm Based on a Gravitational Approach",2012
"Chen, XM|Ni, BJ",CHEMICAL ENGINEERING JOURNAL, (C) 2016 Elsevier B.V. All rights reserved.,Anaerobic conversion of hydrogen and carbon. dioxide to fatty acids production in a membrane biofilm reactor: A modeling approach,2016
"Verma, MP",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,QrtzGeotherm: A revised algorithm for quartz solubility geothermometry to estimate geothermal reservoir temperature and vapor fraction with multivariate analytical uncertainty propagation,2012
"Padonou, E|Roustant, O",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Polar Gaussian Processes and Experimental Designs in Circular Domains,2016
"Graham-Eagle, J|Pennell, S",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2000 John Wiley & Sons, Ltd.",Contact angle calculations from the contact/maximum diameter of sessile drops,2000
"Pechlivanidis, IG|McIntyre, N|Wheater, HS",HYDROLOGY RESEARCH,,"The significance of spatial variability of rainfall on simulated runoff: an evaluation based on the Upper Lee catchment, UK",2017
"Loosvelt, L|Vernieuwe, H|Pauwels, VRN|De Baets, B|Verhoest, NEC",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Local sensitivity analysis for compositional data with application to soil texture in hydrologic modelling,2013
"Taleizadeh, AA|Niaki, STA|Nikousokhan, R",APPLIED SOFT COMPUTING, (C) 2011 Elsevier B.V. All rights reserved.,Constraint multiproduct joint-replenishment inventory control problem using uncertain programming,2011
"Kaintura, A|Spina, D|Couckuyt, I|Knockaert, L|Bogaerts, W|Dhaene, T",ENGINEERING WITH COMPUTERS,,A Kriging and Stochastic Collocation ensemble for uncertainty quantification in engineering applications,2017
"Ernst, OG|Sprungk, B|Starkloff, HJ",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Analysis of the Ensemble and Polynomial Chaos Kalman Filters in Bayesian Inverse Problems,2015
"Jordehi, AR",APPLIED SOFT COMPUTING, (C) 2014 Elsevier B.V. All rights reserved.,Chaotic bat swarm optimisation (CBSO),2015
"Gerzen, N|Barthold, FJ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Enhanced analysis of design sensitivities in topology optimization,2012
"Bubbico, R|Mazzarotta, B",JOURNAL OF HAZARDOUS MATERIALS, (C) 2007 Elsevier B.V. All rights reserved.,Accidental release of toxic chemicals: Influence of the main input parameters on consequence calculation,2008
"Jimenez, R|Sitar, N",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,The importance of distribution types on finite element analyses of foundation settlement,2009
"Omer, CR|Nelson, EJ|Zundel, AK",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Impact of varied data resolution on hydraulic modeling and floodplain delineation,2003
"Fenicia, F|Savenije, HHG|Matgen, P|Pfister, L",WATER RESOURCES RESEARCH,,Understanding catchment behavior through stepwise model concept improvement,2008
"Mogale, DG|Dolgui, A|Kandhway, R|Kumar, K|Tiwari, MK",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,A multi-period inventory transportation model for tactical planning of food grain supply chain,2017
"Zhu, C|Zhang, GR|Lu, P|Meng, LF|Ji, XY",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Benchmark modeling of the Sleipner CO2 plume: Calibration to seismic data for the uppermost layer and model sensitivity analysis,2015
"Jiang, L|Biegler, LT|Fox, VG",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Design and optimization of pressure swing adsorption systems with parallel implementation,2005
"Yang, XF|Liu, YS|Gao, Y|Zhang, YS|Gao, ZZ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An active learning kriging model for hybrid reliability analysis with both random and interval variables,2015
"MacDonald, RJ|Boon, S|Byrne, JM",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,A process-based stream temperature modelling approach for mountain regions,2014
"Pedersen, P|Pedersen, NL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Interpolation/penalization applied for strength design of 3D thermoelastic structures,2012
"Vytyaz, I|Lee, DC|Hanumolu, PK|Moon, UK|Mayaram, K",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Sensitivity analysis for oscillators,2008
"Abenius, E|Strand, B",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2006 John Wiley & Sons, Ltd.",Solving inverse electromagnetic problems using FDTD and gradient-based minimization,2006
"Rahman, S",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2008 John Wiley & Sons, Ltd.",A polynomial dimensional decomposition for stochastic computing,2008
"Jeong, J|Charbeneau, RJ",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2013 Elsevier B.V. All rights reserved.,An analytical model for predicting LNAPL distribution and recovery from multi-layered soils,2014
"Barbato, M|Zona, A|Conte, JP",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2006 John Wiley & Sons, Ltd.",Finite element response sensitivity analysis using three-field mixed formulation: General theory and application to frame structures,2007
"Svinning, K|Hoskuldsson, A",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (c) 2006 Elsevier B.V. All rights reserved.,Design and manufacture of Portland cement - application of sensitivity analysis in exploration and optimisation Part II. Optimisation,2006
"Congedo, PM|Corre, C|Martinez, JM",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2010 Elsevier B.V. All rights reserved.,Shape optimization of an airfoil in a BZT flow with multiple-source uncertainties,2011
"Shome, B",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,MONTE CARLO BASED UNCERTAINTY ANALYSIS FOR VARIABLE PROPERTY MIXED CONVECTION FLOW IN A UNIFORMLY HEATED CIRCULAR TUBE,2016
"Barbolini, M|Gruber, U|Keylock, CJ|Naaim, M|Savi, F",COLD REGIONS SCIENCE AND TECHNOLOGY, (C) 2000 Elsevier Science B.V. All rights reserved.,Application of statistical and hydraulic-continuum dense-snow avalanche models to five real European sites,2000
"Spina, R|Galantucci, LM|Dassisti, M",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,A hybrid approach to the single line scheduling problem with multiple products and sequence-dependent time,2003
"Miao, ZW|Trevisan, M|Capri, E|Padovani, L|Del Re, AAM",JOURNAL OF ENVIRONMENTAL QUALITY,,Uncertainty assessment of the model RICEWQ in northern Italy,2004
"Galvez, ED|Capuz-Rizo, SF",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Assessment of global sensitivity analysis methods for project scheduling,2016
"Castaings, W|Borgonovo, E|Morris, MD|Tarantola, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Sampling strategies in density-based sensitivity analysis,2012
"Venturi, D|Karniadakis, GE",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2012 Elsevier Inc. All rights reserved.,New evolution equations for the joint response-excitation probability density function of stochastic solutions to first-order nonlinear PDEs,2012
"He, L|Kindermann, S|Sini, M",JOURNAL OF COMPUTATIONAL PHYSICS, (c) 2008 Elsevier Inc. All rights reserved.,Reconstruction of shapes and impedance functions using few far-field measurements,2009
"Bertrand-Krajewski, JL",WATER SCIENCE AND TECHNOLOGY,,Stormwater pollutant loads modelling: epistemological aspects and case studies on the influence of field data sets on calibration and verification,2007
"Dubrovsky, M|Nemesova, I|Kalvova, J",CLIMATE RESEARCH,,Uncertainties in climate change scenarios for the Czech Republic,2005
"Finch, JM|Samways, MJ|Hill, TR|Piper, SE|Taylor, S",BIODIVERSITY AND CONSERVATION,,Application of predictive distribution modelling to invertebrates: Odonata in South Africa,2006
"Le, TT|Guilleminot, J|Soize, C",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2015 Elsevier B.V. All rights reserved.,Stochastic continuum modeling of random interphases from atomistic simulations. Application to a polymer nanocomposite,2016
"Zhang, Y|Bischof, CH|Easter, RC|Wu, PT",JOURNAL OF ATMOSPHERIC CHEMISTRY,,Sensitivity analysis of photochemical indicators for O-3 chemistry using automatic differentiation,2005
"Atanassov, D|Galeriu, D",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY, Elsevier Ltd. All rights reserved.,Rain scavenging of tritiated water vapour: a numerical Eulerian stationary model,2011
"Skandrani, C|Innocenti, ME|Bettarini, L|Crespon, F|Lamouroux, J|Lapenta, G",NONLINEAR PROCESSES IN GEOPHYSICS,,FLIP-MHD-based model sensitivity analysis,2014
"Chen, F|Loizou, PC",SPEECH COMMUNICATION, (C) 2011 Elsevier B.V. All rights reserved.,Impact of SNR and gain-function over- and under-estimation on speech intelligibility,2012
"Sato, C|Ogle, SM",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,Modeling tetrachloroethylene decomposition in photosonolysis reactor,2003
"Chen, T|Liu, XM|Li, X|Zhao, KL|Zhang, JB|Xu, JM|Shi, JC|Dahlgren, RA",ENVIRONMENTAL POLLUTION, Elsevier Ltd. All rights reserved.,"Heavy metal sources identification and sampling uncertainty analysis in a field-scale vegetable soil of Hangzhou, China",2009
"Hodgkins, R|Carr, S|Palsson, F|Guomundsson, S|Bjornsson, H",HYDROLOGICAL PROCESSES," Copyright (C) 2012 John Wiley & Sons, Ltd.","Sensitivity analysis of temperature-index melt simulations to near-surface lapse rates and degree-day factors at Vestari-Hagafellsjokull, Langjokull, Iceland",2012
"Muleta, MK|McMillan, J|Amenu, GG|Burian, SJ",JOURNAL OF HYDROLOGIC ENGINEERING,,Bayesian Approach for Uncertainty Analysis of an Urban Storm Water Model and Its Application to a Heavily Urbanized Watershed,2013
"Firoozjaee, AR|Afshar, MH",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Discrete least squares meshless method with sampling points for the solution of elliptic partial differential equations,2009
